trial,emd,loss,ensemble_size,model_size
adaboost_large_seq_seed2,1.28,0.009,16,large
adaboost_large_seq_seed2,1.286,0.008,8,large
adaboost_large_seq_seed432384445,1.287,0.009,16,large
adaboost_large_seq_seed2,1.293,0.009,4,large
adaboost_large_seq_seed1,1.296,0.008,16,large
adaboost_large_seq_seed432384445,1.297,0.01,32,large
adaboost_large_seq_seed432384445,1.297,0.01,8,large
adaboost_large_seq_seed1,1.298,0.008,8,large
adaboost_large_seq_seed1,1.302,0.009,4,large
adaboost_large_seq_seed432384445,1.303,0.01,4,large
adaboost_medium_seq_seed524926359,1.316,0.024,16,medium
adaboost_medium_seq_seed524926359,1.325,0.023,8,medium
adaboost_medium_seq_seed1,1.332,0.019,16,medium
adaboost_large_seq_seed2,1.35,0.01,2,large
adaboost_large_seq_seed1,1.352,0.009,2,large
adaboost_large_fixed_mask_10epochs_seed432384445,1.36,0.011,8,large_fixed
adaboost_medium_seq_seed1,1.368,0.019,8,medium
adaboost_large_fixed_mask_seed432384445,1.369,0.012,4,large_fixed
adaboost_large_seq_seed432384445,1.372,0.012,2,large
adaboost_large_fixed_mask_10epochs_seed432384445,1.372,0.011,16,large_fixed
adaboost_large_fixed_mask_seed1,1.374,0.01,2,large_fixed
adaboost_large_fixed_mask_seed1,1.375,0.01,4,large_fixed
adaboost_medium_seq_seed524926359,1.38,0.023,4,medium
adaboost_large_fixed_mask_seed2,1.381,0.011,4,large_fixed
adaboost_large_fixed_mask_10epochs_seed1,1.384,0.011,8,large_fixed
adaboost_large_fixed_mask_10epochs_seed2,1.391,0.013,8,large_fixed
adaboost_large_fixed_mask_10epochs_seed432384445,1.393,0.012,4,large_fixed
adaboost_large_fixed_mask_10epochs_seed1,1.398,0.011,4,large_fixed
adaboost_large_fixed_mask_10epochs_seed1,1.4,0.012,16,large_fixed
adaboost_large_fixed_mask_seed1,1.401,0.011,8,large_fixed
adaboost_large_fixed_mask_seed2,1.406,0.012,2,large_fixed
adaboost_medium_fixed_mask_seed524926359,1.408,0.023,4,medium_fixed
adaboost_medium_seq_seed2,1.42,0.024,16,medium
adaboost_medium_seq_seed1,1.435,0.019,4,medium
adaboost_small_seq_seed963241121,1.436,0.018,8,small
adaboost_small_seq_seed963241121,1.44,0.018,32,small
adaboost_large_fixed_mask_seed432384445,1.449,0.013,2,large_fixed
adaboost_large_fixed_mask_seed432384445,1.449,0.013,8,large_fixed
adaboost_medium_seq_seed524926359,1.45,0.024,2,medium
adaboost_medium_fixed_mask_10epochs_seed524926359,1.451,0.024,32,medium_fixed
adaboost_large_fixed_mask_seed2,1.452,0.012,8,large_fixed
adaboost_medium_fixed_mask_seed2,1.452,0.025,4,medium_fixed
adaboost_small_seq_seed963241121,1.453,0.018,16,small
adaboost_large_fixed_mask_seed1,1.457,0.014,16,large_fixed
adaboost_medium_fixed_mask_10epochs_seed524926359,1.459,0.024,16,medium_fixed
adaboost_large_fixed_mask_10epochs_seed1,1.467,0.012,2,large_fixed
adaboost_small_seq_seed963241121,1.471,0.018,4,small
adaboost_medium_fixed_mask_seed1,1.471,0.022,8,medium_fixed
adaboost_medium_fixed_mask_seed2,1.473,0.025,8,medium_fixed
adaboost_medium_fixed_mask_seed524926359,1.478,0.024,2,medium_fixed
adaboost_medium_fixed_mask_seed524926359,1.48,0.025,8,medium_fixed
adaboost_medium_seq_seed2,1.48,0.026,8,medium
adaboost_large_fixed_mask_10epochs_seed2,1.484,0.013,16,large_fixed
adaboost_medium_seq_seed2,1.49,0.025,4,medium
adaboost_large_fixed_mask_10epochs_seed2,1.493,0.015,4,large_fixed
adaboost_medium_fixed_mask_10epochs_seed1,1.494,0.022,32,medium_fixed
adaboost_large_fixed_mask_10epochs_seed1,1.51,0.015,32,large_fixed
adaboost_small_seq_seed963241121,1.512,0.02,2,small
adaboost_large_fixed_mask_10epochs_seed2,1.513,0.014,32,large_fixed
adaboost_small_seq_seed2,1.515,0.023,16,small
adaboost_medium_fixed_mask_10epochs_seed1,1.517,0.021,16,medium_fixed
adaboost_medium_fixed_mask_10epochs_seed524926359,1.518,0.025,8,medium_fixed
adaboost_small_seq_seed2,1.52,0.023,8,small
adaboost_medium_fixed_mask_seed1,1.526,0.022,4,medium_fixed
adaboost_large_fixed_mask_10epochs_seed432384445,1.529,0.015,32,large_fixed
adaboost_small_seq_seed1,1.537,0.02,16,small
adaboost_small_seq_seed2,1.543,0.024,4,small
adaboost_small_seq_seed1,1.547,0.02,8,small
adaboost_medium_fixed_mask_seed2,1.55,0.026,2,medium_fixed
adaboost_medium_fixed_mask_10epochs_seed2,1.553,0.027,32,medium_fixed
adaboost_large_fixed_mask_10epochs_seed432384445,1.554,0.015,2,large_fixed
adaboost_small_fixed_mask_seed963241121,1.557,0.021,4,small_fixed
adaboost_medium_seq_seed2,1.559,0.027,2,medium
adaboost_small_fixed_mask_seed963241121,1.56,0.02,16,small_fixed
adaboost_large_fixed_mask_10epochs_seed2,1.566,0.017,2,large_fixed
adaboost_medium_fixed_mask_seed1,1.571,0.023,2,medium_fixed
adaboost_small_fixed_mask_seed963241121,1.577,0.021,2,small_fixed
adaboost_small_fixed_mask_seed963241121,1.579,0.021,8,small_fixed
adaboost_small_fixed_mask_seed1,1.588,0.022,8,small_fixed
adaboost_medium_fixed_mask_10epochs_seed2,1.59,0.027,16,medium_fixed
adaboost_medium_fixed_mask_10epochs_seed1,1.591,0.023,8,medium_fixed
adaboost_medium_seq_seed1,1.591,0.022,2,medium
adaboost_small_seq_seed2,1.594,0.025,2,small
adaboost_small_seq_seed1,1.595,0.021,4,small
adaboost_large_fixed_mask_seed432384445,1.598,0.016,16,large_fixed
adaboost_small_fixed_mask_seed1,1.601,0.022,4,small_fixed
adaboost_large_fixed_mask_seed2,1.612,0.019,16,large_fixed
adaboost_medium_fixed_mask_10epochs_seed2,1.617,0.027,8,medium_fixed
adaboost_small_fixed_mask_10epochs_seed963241121,1.629,0.023,8,small_fixed
adaboost_small_fixed_mask_10epochs_seed963241121,1.638,0.023,16,small_fixed
adaboost_small_seq_seed1,1.648,0.024,2,small
adaboost_small_fixed_mask_10epochs_seed963241121,1.65,0.023,4,small_fixed
adaboost_medium_fixed_mask_10epochs_seed524926359,1.655,0.029,4,medium_fixed
adaboost_small_fixed_mask_seed1,1.659,0.024,2,small_fixed
adaboost_small_fixed_mask_10epochs_seed1,1.7,0.024,16,small_fixed
adaboost_small_fixed_mask_seed2,1.702,0.028,8,small_fixed
adaboost_small_fixed_mask_seed2,1.713,0.027,4,small_fixed
adaboost_small_fixed_mask_seed2,1.717,0.028,2,small_fixed
adaboost_small_fixed_mask_10epochs_seed2,1.72,0.026,4,small_fixed
adaboost_small_fixed_mask_10epochs_seed2,1.725,0.026,8,small_fixed
adaboost_medium_fixed_mask_10epochs_seed1,1.731,0.028,4,medium_fixed
adaboost_small_fixed_mask_10epochs_seed2,1.736,0.026,16,small_fixed
adaboost_small_fixed_mask_10epochs_seed2,1.743,0.029,2,small_fixed
adaboost_small_fixed_mask_10epochs_seed2,1.748,0.027,32,small_fixed
adaboost_small_fixed_mask_10epochs_seed1,1.751,0.025,32,small_fixed
adaboost_medium_fixed_mask_10epochs_seed2,1.753,0.031,4,medium_fixed
adaboost_small_fixed_mask_10epochs_seed1,1.756,0.025,8,small_fixed
adaboost_small_fixed_mask_10epochs_seed963241121,1.765,0.027,2,small_fixed
adaboost_small_fixed_mask_10epochs_seed1,1.771,0.026,4,small_fixed
adaboost_small_fixed_mask_10epochs_seed1,1.827,0.028,2,small_fixed
adaboost_medium_fixed_mask_10epochs_seed524926359,1.881,0.037,2,medium_fixed
adaboost_medium_fixed_mask_10epochs_seed2,1.995,0.04,2,medium_fixed
adaboost_medium_fixed_mask_10epochs_seed1,2.099,0.047,2,medium_fixed
