
trial,emd,loss,ensemble_size,model_size
averaging_small_ensemble_size32_seed1,1.139,0.007,32,small
averaging_medium_ensemble_size32_seed1,1.153,0.007,32,medium
averaging_large_ensemble_size16_seed1,1.157,0.007,16,large
averaging_large_ensemble_size8_seed2,1.182,0.007,8,large
averaging_large_ensemble_size8_seed432384445,1.185,0.007,8,large
averaging_large_ensemble_size32_seed2,1.19,0.006,32,large
averaging_medium_ensemble_size16_seed524926359,1.196,0.007,16,medium
averaging_medium_ensemble_size32_seed524926359,1.217,0.007,32,medium
averaging_medium_ensemble_size16_seed1,1.218,0.008,16,medium
averaging_large_ensemble_size16_seed432384445,1.228,0.009,16,large
averaging_large_ensemble_size4_seed1,1.247,0.007,4,large
averaging_medium_ensemble_size8_seed2,1.248,0.008,8,medium
averaging_medium_ensemble_size8_seed1,1.26,0.009,8,medium
averaging_medium_ensemble_size8_seed524926359,1.269,0.009,8,medium
averaging_small_ensemble_size16_seed1,1.271,0.008,16,small
averaging_small_ensemble_size16_seed2,1.285,0.008,16,small
averaging_small_ensemble_size32_seed963241121,1.285,0.014,32,small
averaging_large_ensemble_size2_seed1,1.308,0.009,2,large
averaging_medium_ensemble_size32_seed2,1.311,0.011,32,medium
averaging_medium_ensemble_size4_seed1,1.313,0.012,4,medium
averaging_small_ensemble_size32_seed2,1.322,0.013,32,small
averaging_medium_ensemble_size4_seed2,1.327,0.012,4,medium
averaging_small_ensemble_size8_seed1,1.329,0.01,8,small
averaging_large_ensemble_size16_seed2,1.33,0.01,16,large
averaging_large_ensemble_size2_seed432384445,1.34,0.01,2,large
averaging_small_ensemble_size16_seed963241121,1.344,0.011,16,small
averaging_small_ensemble_size8_seed2,1.353,0.011,8,small
averaging_large_ensemble_size2_seed2,1.372,0.011,2,large
averaging_large_ensemble_size32_seed1,1.374,0.01,32,large
averaging_small_ensemble_size4_seed1,1.409,0.012,4,small
averaging_large_ensemble_size4_seed432384445,1.42,0.013,4,large
averaging_large_ensemble_size8_seed1,1.438,0.012,8,large
averaging_small_ensemble_size8_seed963241121,1.448,0.014,8,small
averaging_medium_ensemble_size4_seed524926359,1.483,0.017,4,medium
averaging_medium_ensemble_size2_seed2,1.507,0.021,2,medium
averaging_small_ensemble_size2_seed963241121,1.515,0.017,2,small
averaging_small_ensemble_size2_seed1,1.519,0.017,2,small
averaging_medium_ensemble_size2_seed524926359,1.579,0.018,2,medium
averaging_small_ensemble_size4_seed963241121,1.593,0.015,4,small
averaging_small_ensemble_size4_seed2,1.601,0.016,4,small
averaging_large_ensemble_size32_seed432384445,1.625,0.027,32,large
averaging_medium_ensemble_size2_seed1,1.67,0.022,2,medium
averaging_small_ensemble_size2_seed2,1.817,0.026,2,small
averaging_medium_ensemble_size16_seed2,1.93,0.031,16,medium
averaging_large_ensemble_size4_seed2,2.034,0.033,4,large
