
trial,emd,loss,ensemble_size,model_size
bagging_large_seq_seed432384445,1.339,0.009,16,large
bagging_large_seq_seed1,1.352,0.009,16,large
bagging_large_seq_seed2,1.379,0.011,16,large
bagging_large_seq_seed1,1.425,0.011,8,large
bagging_medium_seq_seed1,1.425,0.02,16,medium
bagging_large_seq_seed432384445,1.425,0.011,8,large
bagging_large_seq_seed2,1.447,0.013,8,large
bagging_medium_seq_seed524926359,1.453,0.023,16,medium
bagging_medium_seq_seed2,1.472,0.025,16,medium
bagging_large_seq_seed1,1.504,0.012,4,large
bagging_small_seq_seed963241121,1.514,0.019,16,small
bagging_large_seq_seed432384445,1.531,0.013,4,large
bagging_medium_seq_seed1,1.54,0.021,8,medium
bagging_large_seq_seed2,1.545,0.015,4,large
bagging_small_seq_seed2,1.552,0.024,16,small
bagging_small_seq_seed1,1.553,0.02,16,small
bagging_medium_seq_seed524926359,1.568,0.026,8,medium
bagging_large_seq_seed1,1.585,0.014,2,large
bagging_medium_seq_seed2,1.592,0.027,8,medium
bagging_small_seq_seed963241121,1.593,0.021,8,small
bagging_medium_seq_seed1,1.647,0.023,4,medium
bagging_small_seq_seed2,1.65,0.027,8,small
bagging_medium_seq_seed524926359,1.654,0.028,4,medium
bagging_large_seq_seed2,1.664,0.018,2,large
bagging_large_seq_seed432384445,1.665,0.018,2,large
bagging_small_seq_seed1,1.667,0.022,8,small
bagging_small_seq_seed2,1.687,0.029,4,small
bagging_small_seq_seed963241121,1.715,0.024,4,small
bagging_small_seq_seed1,1.766,0.025,4,small
bagging_small_seq_seed2,1.785,0.033,2,small
bagging_small_seq_seed963241121,1.808,0.029,2,small
bagging_medium_seq_seed2,1.86,0.037,4,medium
bagging_medium_seq_seed1,1.871,0.03,2,medium
bagging_small_seq_seed1,1.893,0.032,2,small
bagging_medium_seq_seed524926359,1.95,0.039,2,medium
bagging_medium_seq_seed2,2.17,0.05,2,medium
