
trial,emd,loss,ensemble_size,model_size
fge_large_ensemble_size32_seed1,1.304,0.009,32,large
fge_large_ensemble_size16_seed1,1.311,0.009,16,large
fge_large_ensemble_size32_seed432384445,1.311,0.01,32,large
fge_large_ensemble_size16_seed432384445,1.326,0.01,16,large
fge_large_ensemble_size8_seed1,1.329,0.009,8,large
fge_large_ensemble_size4_seed432384445,1.338,0.01,4,large
fge_large_ensemble_size8_seed432384445,1.348,0.01,8,large
fge_large_ensemble_size4_seed1,1.355,0.01,4,large
fge_large_ensemble_size2_seed1,1.373,0.01,2,large
fge_large_ensemble_size2_seed432384445,1.375,0.011,2,large
fge_large_ensemble_size32_seed2,1.392,0.013,32,large
fge_large_ensemble_size16_seed2,1.422,0.013,16,large
fge_medium_ensemble_size32_seed2,1.436,0.023,32,medium
fge_medium_ensemble_size32_seed524926359,1.439,0.022,32,medium
fge_large_ensemble_size8_seed2,1.442,0.014,8,large
fge_small_ensemble_size32_seed963241121,1.464,0.019,32,small
fge_small_ensemble_size16_seed963241121,1.468,0.019,16,small
fge_large_ensemble_size4_seed2,1.471,0.014,4,large
fge_medium_ensemble_size16_seed2,1.472,0.024,16,medium
fge_large_ensemble_size2_seed2,1.473,0.015,2,large
fge_medium_ensemble_size16_seed524926359,1.477,0.023,16,medium
fge_medium_ensemble_size8_seed2,1.487,0.025,8,medium
fge_small_ensemble_size8_seed963241121,1.488,0.02,8,small
fge_medium_ensemble_size8_seed524926359,1.494,0.024,8,medium
fge_small_ensemble_size4_seed963241121,1.494,0.02,4,small
fge_medium_ensemble_size4_seed524926359,1.512,0.024,4,medium
fge_medium_ensemble_size4_seed2,1.524,0.025,4,medium
fge_small_ensemble_size2_seed963241121,1.532,0.021,2,small
fge_medium_ensemble_size2_seed2,1.544,0.026,2,medium
fge_medium_ensemble_size2_seed524926359,1.548,0.025,2,medium
fge_small_ensemble_size32_seed2,1.562,0.022,32,small
fge_medium_ensemble_size32_seed1,1.565,0.023,32,medium
fge_small_ensemble_size8_seed2,1.57,0.023,8,small
fge_small_ensemble_size16_seed2,1.576,0.023,16,small
fge_small_ensemble_size32_seed1,1.584,0.022,32,small
fge_small_ensemble_size4_seed2,1.595,0.023,4,small
fge_medium_ensemble_size16_seed1,1.599,0.024,16,medium
fge_small_ensemble_size8_seed1,1.601,0.023,8,small
fge_small_ensemble_size4_seed1,1.619,0.023,4,small
fge_medium_ensemble_size8_seed1,1.624,0.024,8,medium
fge_small_ensemble_size16_seed1,1.629,0.023,16,small
fge_small_ensemble_size2_seed2,1.635,0.025,2,small
fge_small_ensemble_size2_seed1,1.656,0.024,2,small
fge_medium_ensemble_size4_seed1,1.673,0.026,4,medium
fge_medium_ensemble_size2_seed1,1.696,0.027,2,medium
