
trial,emd,lut_cost,loss,hidden_layers,act_bits,neuron_fanin,input_bits,input_fanin,output_bits,lr,lr_t0,wd
hparam8_1916071045,1.419,2140224.0,0.012, [512; 256; 512; 512], [3; 4; 6; 3], [5; 3; 2; 2],5,3,4,0.0053,54,0.000566
hparam17_432384445,1.434,442768.0,0.012, [512; 512; 64], [3; 3; 4], [4; 5; 3],6,2,5,0.00211,74,0.013042
hparam17_288518158,1.463,442768.0,0.013, [512; 512; 64], [3; 3; 4], [4; 5; 3],6,2,5,0.00211,74,0.013042
hparam17_1841208793,1.463,442768.0,0.012, [512; 512; 64], [3; 3; 4], [4; 5; 3],6,2,5,0.00211,74,0.013042
hparam8_1317947088,1.468,2140224.0,0.012, [512; 256; 512; 512], [3; 4; 6; 3], [5; 3; 2; 2],5,3,4,0.0053,54,0.000566
hparam21_769498234,1.472,621936.0,0.013, [128; 512], [4; 5], [3; 3],5,3,5,0.00426,83,0.000402
hparam21_526262893,1.486,621936.0,0.016, [128; 512], [4; 5], [3; 3],5,3,5,0.00426,83,0.000402
hparam6_230225941,1.498,2887648.0,0.017, [128; 256; 128; 512; 512; 256], [2; 3; 6; 5; 4; 5], [4; 5; 2; 2; 4; 2],4,4,6,0.00087,73,0.005957
hparam8_945663069,1.511,2140224.0,0.013, [512; 256; 512; 512], [3; 4; 6; 3], [5; 3; 2; 2],5,3,4,0.0053,54,0.000566
hparam13_1688508311,1.515,963728.0,0.014, [512; 128; 64; 128; 256; 256], [4; 3; 4; 3; 2; 6], [4; 5; 3; 4; 4; 2],6,2,5,0.0062,20,0.027072
hparam18_1257010628,1.521,1008112.0,0.014, [512; 512; 256], [5; 2; 4], [3; 6; 3],6,2,3,0.00167,14,0.008822
hparam10_1860120438,1.523,1106672.0,0.015, [128; 256; 64; 128], [4; 2; 4; 5], [4; 3; 2; 3],5,3,5,0.0012,52,2.7e-05
hparam12_1680601192,1.527,4340528.0,0.016, [256; 128; 512; 64; 256; 128], [2; 4; 6; 5; 6; 3], [5; 4; 2; 2; 2; 3],6,2,5,0.00303,37,0.000132
hparam12_1033004554,1.529,4340528.0,0.016, [256; 128; 512; 64; 256; 128], [2; 4; 6; 5; 6; 3], [5; 4; 2; 2; 2; 3],6,2,5,0.00303,37,0.000132
hparam15_372080147,1.53,900448.0,0.014, [512; 256; 512; 128], [2; 5; 2; 5], [6; 3; 4; 2],6,2,6,0.00056,20,0.001021
hparam16_831509572,1.535,4504528.0,0.016, [256; 512; 256; 64; 256; 512], [6; 4; 4; 3; 4; 3], [2; 3; 3; 2; 4; 5],4,4,3,0.00099,35,9.8e-05
hparam15_1604650165,1.541,900448.0,0.013, [512; 256; 512; 128], [2; 5; 2; 5], [6; 3; 4; 2],6,2,6,0.00056,20,0.001021
hparam13_165784572,1.541,556736.0,0.015, [256; 128; 128; 128; 128; 128], [2; 4; 4; 5; 4; 2], [6; 3; 3; 3; 3; 4],6,2,4,0.00419,87,0.000111
hparam9_1467347456,1.546,1508976.0,0.015, [256; 512; 128; 256; 512], [6; 3; 2; 4; 5], [2; 5; 6; 2; 3],5,3,5,0.0002,16,0.018989
hparam19_2036987025,1.55,390112.0,0.018, [256; 256], [2; 6], [5; 2],5,3,6,0.00338,82,0.013596
hparam19_1981715896,1.554,2138592.0,0.018, [512; 512], [3; 6], [3; 2],4,4,6,0.0032,95,0.081231
hparam11_554977590,1.554,376000.0,0.015, [256; 128; 64; 256; 512; 256], [3; 3; 4; 2; 2; 4], [4; 5; 3; 5; 6; 2],5,2,4,0.00043,84,0.00047
hparam24_1586279770,1.554,1526496.0,0.02, [128; 128; 512; 512; 512], [2; 4; 2; 3; 4], [5; 3; 4; 5; 2],6,2,6,0.00178,40,0.025077
hparam12_751381422,1.56,1540240.0,0.017, [512; 256; 512; 256; 256], [2; 2; 2; 3; 4], [6; 4; 2; 4; 3],4,4,5,0.00024,62,5.2e-05
hparam11_1904741739,1.566,376000.0,0.015, [256; 128; 64; 256; 512; 256], [3; 3; 4; 2; 2; 4], [4; 5; 3; 5; 6; 2],5,2,4,0.00043,84,0.00047
