
trial,emd,loss,hidden_layers,act_bits,neuron_fanin,input_bits,input_fanin,output_bits,lr,lr_t0,wd
hparam78_479243557,1.38,0.011, [128; 128; 64], [5; 4; 4], [3; 2; 4],6,2,4,0.00118,45,0.001108
hparam4_897072296,1.383,0.011, [128; 128; 512], [5; 5; 5], [3; 3; 2],6,2,4,0.00262,40,8.6e-05
hparam4_843144867,1.399,0.014, [128; 128; 512], [5; 5; 5], [3; 3; 2],6,2,4,0.00262,40,8.6e-05
hparam56_1054618946,1.404,0.012, [512; 512; 512], [3; 3; 3], [5; 2; 5],5,2,5,0.00256,81,0.061425
hparam56_145567773,1.404,0.011, [512; 512; 512], [3; 3; 3], [5; 2; 5],5,2,5,0.00256,81,0.061425
hparam67_1548861171,1.405,0.01, [512; 256; 512], [3; 5; 6], [5; 3; 2],6,2,6,0.00056,55,0.026689
hparam67_2140990480,1.414,0.012, [512; 512; 128; 64; 256; 128], [2; 3; 6; 4; 4; 3], [4; 5; 2; 4; 4; 3],5,2,6,0.00083,49,0.043168
hparam2_293114829,1.418,0.011, [512; 512], [3; 5], [4; 3],6,2,5,0.00246,24,2.4e-05
hparam2_641710731,1.429,0.012, [512; 512], [3; 5], [4; 3],6,2,5,0.00246,24,2.4e-05
hparam78_1779417838,1.433,0.014, [128; 128; 64], [5; 4; 4], [3; 2; 4],6,2,4,0.00118,45,0.001108
hparam67_1351375349,1.437,0.013, [512; 256; 512], [3; 5; 6], [5; 3; 2],6,2,6,0.00056,55,0.026689
hparam78_2090515553,1.438,0.013, [128; 128; 64], [5; 4; 4], [3; 2; 4],6,2,4,0.00118,45,0.001108
hparam67_1063714607,1.442,0.011, [512; 256; 512], [3; 5; 6], [5; 3; 2],6,2,6,0.00056,55,0.026689
hparam4_880937101,1.444,0.012, [64; 512], [3; 4], [5; 3],6,2,5,0.00156,17,1.2e-05
hparam0_1108327659,1.444,0.012, [128; 128; 256; 512; 128], [4; 6; 3; 4; 3], [4; 2; 3; 3; 3],5,2,6,0.00149,78,6.4e-05
hparam76_11402494,1.452,0.012, [256; 512; 256; 512], [3; 2; 2; 5], [4; 5; 2; 3],6,2,4,0.00232,99,0.007648
hparam67_1700328574,1.452,0.012, [512; 512; 128; 64; 256; 128], [2; 3; 6; 4; 4; 3], [4; 5; 2; 4; 4; 3],5,2,6,0.00083,49,0.043168
