
trial,emd,loss,hidden_layers,act_bits,neuron_fanin,input_bits,input_fanin,output_bits,lr,lr_t0,wd,batch_size
large_lr0.001_warm_restart_freq100_wd0.01_batch_size512,1.407,0.012, [512; 512; 64], [3; 3; 4], [4; 5; 3],6,2,5,0.001,100,0.01,512
large_lr0.001_warm_restart_freq50_wd0.01_batch_size512,1.42,0.012, [512; 512; 64], [3; 3; 4], [4; 5; 3],6,2,5,0.001,50,0.01,512
large_lr0.001_warm_restart_freq50_wd0.001_batch_size512,1.422,0.012, [512; 512; 64], [3; 3; 4], [4; 5; 3],6,2,5,0.001,50,0.001,512
large_lr0.001_warm_restart_freq100_wd0.01_batch_size1024,1.425,0.012, [512; 512; 64], [3; 3; 4], [4; 5; 3],6,2,5,0.001,100,0.01,1024
large_lr0.001_warm_restart_freq50_wd0.001_batch_size1024,1.451,0.013, [512; 512; 64], [3; 3; 4], [4; 5; 3],6,2,5,0.001,50,0.001,1024
large_lr0.001_warm_restart_freq50_wd0.01_batch_size1024,1.462,0.012, [512; 512; 64], [3; 3; 4], [4; 5; 3],6,2,5,0.001,50,0.01,1024
large_lr0.01_warm_restart_freq50_wd0.01_batch_size512,1.468,0.012, [512; 512; 64], [3; 3; 4], [4; 5; 3],6,2,5,0.01,50,0.01,512
large_lr0.0001_warm_restart_freq50_wd0.01_batch_size512,1.471,0.013, [512; 512; 64], [3; 3; 4], [4; 5; 3],6,2,5,0.0001,50,0.01,512
large_lr0.01_warm_restart_freq100_wd0.01_batch_size1024,1.491,0.013, [512; 512; 64], [3; 3; 4], [4; 5; 3],6,2,5,0.01,100,0.01,1024
large_lr0.001_warm_restart_freq100_wd0.001_batch_size1024,1.493,0.013, [512; 512; 64], [3; 3; 4], [4; 5; 3],6,2,5,0.001,100,0.001,1024
large_lr0.0001_warm_restart_freq50_wd0.001_batch_size512,1.495,0.014, [512; 512; 64], [3; 3; 4], [4; 5; 3],6,2,5,0.0001,50,0.001,512
large_lr0.001_warm_restart_freq100_wd0.1_batch_size512,1.497,0.012, [512; 512; 64], [3; 3; 4], [4; 5; 3],6,2,5,0.001,100,0.1,512
large_lr0.01_warm_restart_freq50_wd0.001_batch_size1024,1.504,0.013, [512; 512; 64], [3; 3; 4], [4; 5; 3],6,2,5,0.01,50,0.001,1024
large_lr0.01_warm_restart_freq100_wd0.001_batch_size512,1.504,0.014, [512; 512; 64], [3; 3; 4], [4; 5; 3],6,2,5,0.01,100,0.001,512
large_lr0.0001_warm_restart_freq100_wd0.1_batch_size512,1.505,0.012, [512; 512; 64], [3; 3; 4], [4; 5; 3],6,2,5,0.0001,100,0.1,512
large_lr0.0001_warm_restart_freq50_wd0.1_batch_size512,1.508,0.011, [512; 512; 64], [3; 3; 4], [4; 5; 3],6,2,5,0.0001,50,0.1,512
large_lr0.0001_warm_restart_freq50_wd0.1_batch_size1024,1.51,0.013, [512; 512; 64], [3; 3; 4], [4; 5; 3],6,2,5,0.0001,50,0.1,1024
large_lr0.001_warm_restart_freq100_wd0.001_batch_size512,1.511,0.014, [512; 512; 64], [3; 3; 4], [4; 5; 3],6,2,5,0.001,100,0.001,512
large_lr0.01_warm_restart_freq50_wd0.001_batch_size512,1.514,0.014, [512; 512; 64], [3; 3; 4], [4; 5; 3],6,2,5,0.01,50,0.001,512
large_lr0.001_warm_restart_freq50_wd0.1_batch_size1024,1.515,0.012, [512; 512; 64], [3; 3; 4], [4; 5; 3],6,2,5,0.001,50,0.1,1024
large_lr0.001_warm_restart_freq100_wd0.1_batch_size1024,1.515,0.012, [512; 512; 64], [3; 3; 4], [4; 5; 3],6,2,5,0.001,100,0.1,1024
large_lr0.0001_warm_restart_freq100_wd0.01_batch_size512,1.517,0.014, [512; 512; 64], [3; 3; 4], [4; 5; 3],6,2,5,0.0001,100,0.01,512
large_lr0.0001_warm_restart_freq100_wd0.01_batch_size1024,1.52,0.013, [512; 512; 64], [3; 3; 4], [4; 5; 3],6,2,5,0.0001,100,0.01,1024
large_lr0.0001_warm_restart_freq100_wd0.001_batch_size512,1.521,0.014, [512; 512; 64], [3; 3; 4], [4; 5; 3],6,2,5,0.0001,100,0.001,512
large_lr0.001_warm_restart_freq50_wd0.1_batch_size512,1.524,0.013, [512; 512; 64], [3; 3; 4], [4; 5; 3],6,2,5,0.001,50,0.1,512
large_lr0.0001_warm_restart_freq100_wd0.001_batch_size1024,1.539,0.015, [512; 512; 64], [3; 3; 4], [4; 5; 3],6,2,5,0.0001,100,0.001,1024
large_lr0.01_warm_restart_freq100_wd0.01_batch_size512,1.541,0.013, [512; 512; 64], [3; 3; 4], [4; 5; 3],6,2,5,0.01,100,0.01,512
large_lr0.01_warm_restart_freq100_wd0.001_batch_size1024,1.549,0.013, [512; 512; 64], [3; 3; 4], [4; 5; 3],6,2,5,0.01,100,0.001,1024
large_lr0.0001_warm_restart_freq100_wd0.1_batch_size1024,1.557,0.013, [512; 512; 64], [3; 3; 4], [4; 5; 3],6,2,5,0.0001,100,0.1,1024
medium_lr0.0001_warm_restart_freq100_wd0.01_batch_size512,1.558,0.03, [128; 256; 256; 256; 256; 128], [2; 2; 3; 4; 3; 4], [4; 6; 4; 2; 3; 2],4,2,5,0.0001,100,0.01,512
medium_lr0.0001_warm_restart_freq100_wd0.001_batch_size512,1.558,0.027, [128; 256; 256; 256; 256; 128], [2; 2; 3; 4; 3; 4], [4; 6; 4; 2; 3; 2],4,2,5,0.0001,100,0.001,512
large_lr0.0001_warm_restart_freq50_wd0.01_batch_size1024,1.561,0.014, [512; 512; 64], [3; 3; 4], [4; 5; 3],6,2,5,0.0001,50,0.01,1024
large_lr0.01_warm_restart_freq50_wd0.01_batch_size1024,1.563,0.014, [512; 512; 64], [3; 3; 4], [4; 5; 3],6,2,5,0.01,50,0.01,1024
medium_lr0.001_warm_restart_freq100_wd0.01_batch_size512,1.566,0.029, [128; 256; 256; 256; 256; 128], [2; 2; 3; 4; 3; 4], [4; 6; 4; 2; 3; 2],4,2,5,0.001,100,0.01,512
medium_lr0.001_warm_restart_freq100_wd0.01_batch_size1024,1.572,0.026, [128; 256; 256; 256; 256; 128], [2; 2; 3; 4; 3; 4], [4; 6; 4; 2; 3; 2],4,2,5,0.001,100,0.01,1024
medium_lr0.0001_warm_restart_freq50_wd0.01_batch_size512,1.572,0.026, [128; 256; 256; 256; 256; 128], [2; 2; 3; 4; 3; 4], [4; 6; 4; 2; 3; 2],4,2,5,0.0001,50,0.01,512
large_lr0.0001_warm_restart_freq50_wd0.001_batch_size1024,1.576,0.014, [512; 512; 64], [3; 3; 4], [4; 5; 3],6,2,5,0.0001,50,0.001,1024
medium_lr0.0001_warm_restart_freq50_wd0.001_batch_size512,1.58,0.027, [128; 256; 256; 256; 256; 128], [2; 2; 3; 4; 3; 4], [4; 6; 4; 2; 3; 2],4,2,5,0.0001,50,0.001,512
medium_lr0.001_warm_restart_freq50_wd0.01_batch_size512,1.587,0.028, [128; 256; 256; 256; 256; 128], [2; 2; 3; 4; 3; 4], [4; 6; 4; 2; 3; 2],4,2,5,0.001,50,0.01,512
small_lr0.001_warm_restart_freq100_wd1e-05_batch_size512,1.589,0.022, [128; 256; 128; 128], [2; 2; 2; 6], [6; 5; 4; 2],4,2,6,0.001,100,1e-05,512
small_lr0.0001_warm_restart_freq100_wd0.01_batch_size512,1.599,0.024, [128; 256; 128; 128], [2; 2; 2; 6], [6; 5; 4; 2],4,2,6,0.0001,100,0.01,512
medium_lr0.001_warm_restart_freq50_wd0.0001_batch_size1024,1.611,0.03, [128; 256; 256; 256; 256; 128], [2; 2; 3; 4; 3; 4], [4; 6; 4; 2; 3; 2],4,2,5,0.001,50,0.0001,1024
small_lr0.001_warm_restart_freq50_wd1e-05_batch_size512,1.614,0.023, [128; 256; 128; 128], [2; 2; 2; 6], [6; 5; 4; 2],4,2,6,0.001,50,1e-05,512
small_lr0.001_warm_restart_freq50_wd0.001_batch_size1024,1.617,0.022, [128; 256; 128; 128], [2; 2; 2; 6], [6; 5; 4; 2],4,2,6,0.001,50,0.001,1024
small_lr0.0001_warm_restart_freq50_wd0.01_batch_size512,1.62,0.024, [128; 256; 128; 128], [2; 2; 2; 6], [6; 5; 4; 2],4,2,6,0.0001,50,0.01,512
medium_lr0.0001_warm_restart_freq100_wd0.01_batch_size1024,1.621,0.029, [128; 256; 256; 256; 256; 128], [2; 2; 3; 4; 3; 4], [4; 6; 4; 2; 3; 2],4,2,5,0.0001,100,0.01,1024
small_lr0.001_warm_restart_freq100_wd0.001_batch_size512,1.623,0.023, [128; 256; 128; 128], [2; 2; 2; 6], [6; 5; 4; 2],4,2,6,0.001,100,0.001,512
small_lr0.001_warm_restart_freq100_wd1e-05_batch_size1024,1.63,0.023, [128; 256; 128; 128], [2; 2; 2; 6], [6; 5; 4; 2],4,2,6,0.001,100,1e-05,1024
small_lr0.001_warm_restart_freq100_wd0.01_batch_size512,1.63,0.023, [128; 256; 128; 128], [2; 2; 2; 6], [6; 5; 4; 2],4,2,6,0.001,100,0.01,512
medium_lr0.001_warm_restart_freq50_wd0.001_batch_size1024,1.642,0.027, [128; 256; 256; 256; 256; 128], [2; 2; 3; 4; 3; 4], [4; 6; 4; 2; 3; 2],4,2,5,0.001,50,0.001,1024
medium_lr0.0001_warm_restart_freq100_wd0.0001_batch_size512,1.643,0.03, [128; 256; 256; 256; 256; 128], [2; 2; 3; 4; 3; 4], [4; 6; 4; 2; 3; 2],4,2,5,0.0001,100,0.0001,512
large_lr0.01_warm_restart_freq50_wd0.1_batch_size1024,1.65,0.017, [512; 512; 64], [3; 3; 4], [4; 5; 3],6,2,5,0.01,50,0.1,1024
medium_lr0.0001_warm_restart_freq50_wd0.0001_batch_size512,1.656,0.028, [128; 256; 256; 256; 256; 128], [2; 2; 3; 4; 3; 4], [4; 6; 4; 2; 3; 2],4,2,5,0.0001,50,0.0001,512
medium_lr0.001_warm_restart_freq100_wd0.001_batch_size1024,1.657,0.029, [128; 256; 256; 256; 256; 128], [2; 2; 3; 4; 3; 4], [4; 6; 4; 2; 3; 2],4,2,5,0.001,100,0.001,1024
medium_lr0.0001_warm_restart_freq100_wd0.001_batch_size1024,1.658,0.03, [128; 256; 256; 256; 256; 128], [2; 2; 3; 4; 3; 4], [4; 6; 4; 2; 3; 2],4,2,5,0.0001,100,0.001,1024
