
trial,emd,loss,hidden_layers,act_bits,neuron_fanin,input_bits,input_fanin,output_bits,lr,lr_t0,wd,batch_size
large_lr0.001_warm_restart_freq50_wd0.01_batch_size512,1.329,0.011, [512; 512; 512], [3; 3; 3], [5; 2; 5],5,2,5,0.001,50,0.01,512
large_lr0.001_warm_restart_freq25_wd0.01_batch_size512,1.341,0.01, [512; 512; 512], [3; 3; 3], [5; 2; 5],5,2,5,0.001,25,0.01,512
large_lr0.01_warm_restart_freq50_wd0.0001_batch_size512,1.347,0.011, [512; 512; 512], [3; 3; 3], [5; 2; 5],5,2,5,0.01,50,0.0001,512
large_lr0.001_warm_restart_freq50_wd0.001_batch_size1024,1.351,0.011, [512; 512; 512], [3; 3; 3], [5; 2; 5],5,2,5,0.001,50,0.001,1024
large_lr0.01_warm_restart_freq25_wd0.001_batch_size1024,1.355,0.011, [512; 512; 512], [3; 3; 3], [5; 2; 5],5,2,5,0.01,25,0.001,1024
small_lr0.01_warm_restart_freq25_wd0.001_batch_size512,1.356,0.011, [128; 128; 64], [5; 4; 4], [3; 2; 4],6,2,4,0.01,25,0.001,512
large_lr0.001_warm_restart_freq25_wd0.0001_batch_size512,1.357,0.011, [512; 512; 512], [3; 3; 3], [5; 2; 5],5,2,5,0.001,25,0.0001,512
large_lr0.001_warm_restart_freq25_wd0.001_batch_size512,1.359,0.011, [512; 512; 512], [3; 3; 3], [5; 2; 5],5,2,5,0.001,25,0.001,512
large_lr0.01_warm_restart_freq25_wd0.0001_batch_size1024,1.368,0.011, [512; 512; 512], [3; 3; 3], [5; 2; 5],5,2,5,0.01,25,0.0001,1024
large_lr0.001_warm_restart_freq25_wd0.01_batch_size1024,1.37,0.011, [512; 512; 512], [3; 3; 3], [5; 2; 5],5,2,5,0.001,25,0.01,1024
large_lr0.001_warm_restart_freq50_wd0.0001_batch_size512,1.37,0.011, [512; 512; 512], [3; 3; 3], [5; 2; 5],5,2,5,0.001,50,0.0001,512
small_lr0.01_warm_restart_freq50_wd0.01_batch_size1024,1.371,0.011, [128; 128; 64], [5; 4; 4], [3; 2; 4],6,2,4,0.01,50,0.01,1024
large_lr0.01_warm_restart_freq50_wd0.0001_batch_size1024,1.371,0.011, [512; 512; 512], [3; 3; 3], [5; 2; 5],5,2,5,0.01,50,0.0001,1024
large_lr0.001_warm_restart_freq50_wd0.01_batch_size1024,1.372,0.011, [512; 512; 512], [3; 3; 3], [5; 2; 5],5,2,5,0.001,50,0.01,1024
large_lr0.01_warm_restart_freq50_wd0.001_batch_size512,1.373,0.011, [512; 512; 512], [3; 3; 3], [5; 2; 5],5,2,5,0.01,50,0.001,512
large_lr0.001_warm_restart_freq50_wd0.0001_batch_size1024,1.373,0.011, [512; 512; 512], [3; 3; 3], [5; 2; 5],5,2,5,0.001,50,0.0001,1024
large_lr0.01_warm_restart_freq50_wd0.01_batch_size1024,1.376,0.011, [512; 512; 512], [3; 3; 3], [5; 2; 5],5,2,5,0.01,50,0.01,1024
small_lr0.001_warm_restart_freq25_wd0.001_batch_size512,1.379,0.011, [128; 128; 64], [5; 4; 4], [3; 2; 4],6,2,4,0.001,25,0.001,512
small_lr0.001_warm_restart_freq50_wd0.0001_batch_size512,1.381,0.011, [128; 128; 64], [5; 4; 4], [3; 2; 4],6,2,4,0.001,50,0.0001,512
medium_lr0.001_warm_restart_freq50_wd0.001_batch_size1024,1.382,0.011, [128; 128; 512], [5; 5; 5], [3; 3; 2],6,2,4,0.001,50,0.001,1024
