
trial,emd,loss,ensemble_size,model_size
sse_large_ensemble_size8_seed432384445,1.296,0.01,8,large
sse_large_ensemble_size32_seed432384445,1.298,0.008,32,large
sse_large_ensemble_size32_seed1,1.3,0.008,32,large
sse_large_ensemble_size16_seed432384445,1.301,0.008,16,large
sse_large_ensemble_size8_seed1,1.304,0.008,8,large
sse_large_ensemble_size16_seed1,1.31,0.008,16,large
sse_large_ensemble_size4_seed1,1.322,0.009,4,large
sse_large_ensemble_size4_seed432384445,1.342,0.01,4,large
sse_medium_ensemble_size32_seed524926359,1.352,0.024,32,medium
sse_medium_ensemble_size16_seed524926359,1.354,0.023,16,medium
sse_large_ensemble_size2_seed432384445,1.355,0.011,2,large
sse_large_ensemble_size4_seed2,1.357,0.012,4,large
sse_medium_ensemble_size32_seed1,1.362,0.019,32,medium
sse_medium_ensemble_size32_seed2,1.362,0.023,32,medium
sse_large_ensemble_size8_seed2,1.362,0.011,8,large
sse_medium_ensemble_size8_seed524926359,1.379,0.025,8,medium
sse_large_ensemble_size2_seed1,1.383,0.009,2,large
sse_medium_ensemble_size16_seed1,1.391,0.019,16,medium
sse_medium_ensemble_size16_seed2,1.404,0.023,16,medium
sse_large_ensemble_size2_seed2,1.408,0.012,2,large
sse_large_ensemble_size16_seed2,1.41,0.013,16,large
sse_large_ensemble_size32_seed2,1.417,0.013,32,large
sse_medium_ensemble_size8_seed1,1.429,0.019,8,medium
sse_medium_ensemble_size4_seed524926359,1.458,0.025,4,medium
sse_small_ensemble_size32_seed2,1.472,0.022,32,small
sse_small_ensemble_size16_seed2,1.476,0.022,16,small
sse_small_ensemble_size8_seed963241121,1.478,0.019,8,small
sse_medium_ensemble_size8_seed2,1.482,0.023,8,medium
sse_small_ensemble_size8_seed2,1.487,0.022,8,small
sse_small_ensemble_size8_seed1,1.506,0.019,8,small
sse_small_ensemble_size4_seed963241121,1.51,0.019,4,small
sse_small_ensemble_size32_seed963241121,1.517,0.02,32,small
sse_medium_ensemble_size2_seed524926359,1.532,0.027,2,medium
sse_medium_ensemble_size4_seed2,1.533,0.024,4,medium
sse_small_ensemble_size16_seed963241121,1.541,0.02,16,small
sse_medium_ensemble_size4_seed1,1.542,0.02,4,medium
sse_small_ensemble_size4_seed2,1.547,0.023,4,small
sse_small_ensemble_size32_seed1,1.55,0.018,32,small
sse_small_ensemble_size16_seed1,1.552,0.018,16,small
sse_small_ensemble_size4_seed1,1.555,0.02,4,small
sse_small_ensemble_size2_seed2,1.581,0.024,2,small
sse_small_ensemble_size2_seed963241121,1.599,0.022,2,small
sse_medium_ensemble_size2_seed2,1.623,0.026,2,medium
sse_small_ensemble_size2_seed1,1.652,0.023,2,small
sse_medium_ensemble_size2_seed1,1.692,0.024,2,medium
